code;roundTheClock;zone24;timeZone;workingHours;coordinates latitude;coordinates longitude;fullAddress;subwayStations;locationCategory;services;conditionCode
60026180;True;True;0;[];55.838483;37.379732;г. Москва, пр-д Новотушинский,  8к1;[['Волоколамская', 'СИН', '260']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
60029877;True;False;0;[];55.53936;37.573797;г. Москва, ул. 2-я Мелитопольская,  3,  А;[['Улица Скобелевская', 'СЕГ', '1500']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};False
33936;False;False;0;[[30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [32400000, 61200000], None, [32400000, 54000000], None];55.546908;37.552633;г. Москва, б-р Адмирала Ушакова, д. 5;[['Улица Скобелевская', 'СЕГ', '100']];Отделение банка;{'QRCODE': True, 'CASHIN_ITEMS_CNT40': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
11369429;False;False;0;[[36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None];55.739122;37.484486;г. Москва, ул. Минская,  14_А;[['Филёвский Парк', 'ГОЛ', '80']];ТЦ;{'QRCODE': True, 'CASHIN_ITEMS_CNT40': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': False, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
543449;True;True;0;[];55.651465;37.412828;г. Москва, ул. 50 лет Октября,  11;[['Говорово', 'ЖЕЛ', '900']];Отделение банка;{'QRCODE': True, 'PAY_CASH': False, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': False};True
10837978;True;True;0;[];55.897589;37.580948;г. Москва, ул. Череповецкая, д. 20;[['Алтуфьево', 'СЕР', '360']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
615517;False;False;0;[[30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [32400000, 61200000], None, None, None];55.897635;37.596098;г. Москва, ул. Лескова, д. 8;[['Алтуфьево', 'СЕР', '530']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': False, 'PAY_CASH': False, 'CASHIN': False, 'PAY_SERVICES': False, 'BARCODE': True, 'NFC': False, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': False};False
651644;False;False;0;[[32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, None, None, None, None];55.799001;37.458094;г. Москва, ул. Гамалеи, д. 15стр2;[['Щукинская', 'ФИО', '1080']];Медицинское учреждение;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
254730;False;False;0;[[32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None];55.703586;37.47333;г. Москва, ул. Матвеевская, д. 8;[];Магазин;{'PAY_SERVICES': True, 'NFC': True, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
10214464;True;True;0;[];55.86595;37.494063;г. Москва, ул. Петрозаводская,  11,  А;[['Беломорская', 'ЗЕЛ', '1120'], ['Ховрино', 'ЗЕЛ', '1460'], ['Речной Вокзал', 'ЗЕЛ', '1630']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
10208198;False;False;0;[[30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [32400000, 61200000], None, [39600000, 54000000], None];55.886946;37.659362;г. Москва, ул. Широкая, д. 12;[['Медведково', 'ОРА', '160']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
222831;True;True;0;[];55.794246;37.586371;г. Москва, ул. Бутырская, д. 2/18;[['Савёловская', 'СЕР', '100'], ['Савёловская', 'ЖЕЛ', '170']];Отделение банка;{'QRCODE': True, 'PAY_CASH': False, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': False};True
60002126;True;False;0;[];55.757404;37.660926;г. Москва, ул. Земляной Вал,  29, стр. 1;[['Курская', 'КОР', '140'], ['Чкаловская', 'САЛ', '180'], ['Курская', 'СИН', '190']];Транспортный объект;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
